epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.10462,3.08913,3.15357,4.17824,0.00333,1,0.01706,0.01026,1.92767,3.47834,4.15892,0,0,0
2,10.0411,3.21937,3.1167,4.19984,0.00333,1,0.02296,0.01327,1.92775,3.47946,4.15895,1.9998e-05,1.9998e-05,1.9998e-05
3,12.9162,3.18281,3.33252,4.19391,0.00333,1,0.01776,0.01109,1.92781,3.4805,4.15892,3.99921e-05,3.99921e-05,3.99921e-05
4,15.8212,2.77889,3.02613,4.18609,0.00333,1,0.02739,0.01368,1.92796,3.48184,4.1589,5.99822e-05,5.99822e-05,5.99822e-05
5,18.7755,2.92717,3.31679,4.16115,0.00333,1,0.02816,0.01607,1.9282,3.48326,4.15883,7.99683e-05,7.99683e-05,7.99683e-05
6,21.6795,2.29004,3.28476,4.18364,0.00333,1,0.03109,0.01644,1.92853,3.48496,4.15876,9.99505e-05,9.99505e-05,9.99505e-05
7,24.8053,2.74268,3.18755,4.21663,0.00333,1,0.03596,0.01811,1.92892,3.48648,4.1585,0.000119929,0.000119929,0.000119929
8,27.5068,3.03195,3.04436,4.16762,0.00333,1,0.02147,0.01227,1.92939,3.48864,4.1584,0.000139903,0.000139903,0.000139903
9,30.1642,2.73608,3.2064,4.19985,0.00333,1,0.04146,0.01831,1.93004,3.49097,4.15828,0.000159873,0.000159873,0.000159873
10,32.8596,3.04963,3.22466,4.26223,0.00333,1,0.04975,0.02338,1.93077,3.49291,4.15809,0.00017984,0.00017984,0.00017984
11,35.5113,2.99748,3.01422,4.20093,0.00333,1,0.06489,0.03024,1.93171,3.49509,4.1579,0.000199802,0.000199802,0.000199802
12,38.1883,2.38265,3.17559,4.18078,0.00333,1,0.10661,0.03915,1.93255,3.49708,4.15764,0.00021976,0.00021976,0.00021976
13,41.019,2.97051,3.31815,4.17406,0.00333,1,0.04815,0.0235,1.93347,3.49859,4.15719,0.000239715,0.000239715,0.000239715
14,45.7176,2.97766,3.26376,4.21584,0.00333,1,0.06351,0.02646,1.93457,3.49968,4.15667,0.000259665,0.000259665,0.000259665
15,49.8271,3.08706,3.253,4.11891,0.00333,1,0.12437,0.03885,1.93559,3.50063,4.15597,0.000279612,0.000279612,0.000279612
16,53.3115,2.9677,3.15278,4.13104,0.00333,1,0.06633,0.02399,1.93708,3.50337,4.1552,0.000299555,0.000299555,0.000299555
17,56.0877,2.86838,3.11207,4.13265,0.00333,1,0.09629,0.03079,1.93816,3.50568,4.15411,0.000319493,0.000319493,0.000319493
18,58.6051,2.61543,2.9388,4.15478,0.00333,1,0.09629,0.03079,1.93816,3.50568,4.15411,0.000339428,0.000339428,0.000339428
19,61.2495,2.79134,3.10501,4.16379,0.00333,1,0.08292,0.02417,1.93962,3.50938,4.15208,0.000359358,0.000359358,0.000359358
20,64.2915,3.35439,2.9808,4.1401,0.00333,1,0.08292,0.02417,1.93962,3.50938,4.15208,0.000379285,0.000379285,0.000379285
21,67.0338,3.25166,2.89302,4.12728,0.00333,1,0.05528,0.01916,1.94171,3.51279,4.14942,0.000399208,0.000399208,0.000399208
22,69.9126,3.09935,3.32678,4.18691,0.00333,1,0.05528,0.01916,1.94171,3.51279,4.14942,0.000419127,0.000419127,0.000419127
23,72.627,2.38975,2.994,4.08382,0.00333,1,0.04089,0.01893,1.94419,3.51632,4.14585,0.000439042,0.000439042,0.000439042
24,75.3485,2.88714,3.11354,4.12324,0.00333,1,0.04089,0.01893,1.94419,3.51632,4.14585,0.000458953,0.000458953,0.000458953
25,78.2664,3.14135,3.03879,4.13245,0.00333,1,0.07654,0.02167,1.94631,3.51754,4.14146,0.00047886,0.00047886,0.00047886
26,80.9922,2.76126,2.9998,4.11307,0.00333,1,0.07654,0.02167,1.94631,3.51754,4.14146,0.000498763,0.000498763,0.000498763
27,83.9002,3.26363,3.01477,4.12805,0.00333,1,0.09045,0.02845,1.94972,3.51726,4.13618,0.000518662,0.000518662,0.000518662
28,86.6033,2.80562,3.13193,4.159,0.00333,1,0.09045,0.02845,1.94972,3.51726,4.13618,0.000538557,0.000538557,0.000538557
29,89.5228,3.45959,2.9515,4.1206,0.00333,1,0.17559,0.04011,1.95339,3.51962,4.13129,0.000558448,0.000558448,0.000558448
30,92.733,2.51389,3.04756,4.14574,0.00333,1,0.17559,0.04011,1.95339,3.51962,4.13129,0.000578335,0.000578335,0.000578335
31,96.4901,3.46169,2.90718,4.09258,0.00333,1,0.08292,0.02653,1.95867,3.52747,4.12759,0.000598218,0.000598218,0.000598218
32,100.335,2.51727,3.03078,4.08173,0.00333,1,0.08292,0.02653,1.95867,3.52747,4.12759,0.000618097,0.000618097,0.000618097
33,105.055,2.87027,3.11819,4.07633,0.00333,1,0.08292,0.02942,1.96118,3.53363,4.12322,0.000637972,0.000637972,0.000637972
34,109.219,2.82373,3.21314,4.03913,0.00333,1,0.08292,0.02942,1.96118,3.53363,4.12322,0.000657844,0.000657844,0.000657844
35,112.559,3.40979,2.98804,4.10076,0.00333,1,0.07107,0.02585,1.96112,3.53546,4.11849,0.000677711,0.000677711,0.000677711
36,115.595,2.65361,2.91458,3.99052,0.00333,1,0.07107,0.02585,1.96112,3.53546,4.11849,0.000697574,0.000697574,0.000697574
37,118.709,2.61138,2.99768,4.06103,0.00333,1,0.07107,0.02644,1.95789,3.53555,4.11487,0.000717434,0.000717434,0.000717434
38,121.816,2.33958,2.93028,3.96876,0.00333,1,0.07107,0.02644,1.95789,3.53555,4.11487,0.000737289,0.000737289,0.000737289
39,124.487,2.628,2.70128,3.97026,0.00333,1,0.06293,0.02512,1.95109,3.54795,4.11273,0.000757141,0.000757141,0.000757141
40,127.602,3.13737,3.33232,3.985,0.00333,1,0.06293,0.02512,1.95109,3.54795,4.11273,0.000776988,0.000776988,0.000776988
41,130.704,2.41074,2.83267,4.01262,0.00333,1,0.06633,0.02708,1.94269,3.52945,4.10705,0.000796832,0.000796832,0.000796832
42,133.913,3.37001,3.19014,4.05458,0.00333,1,0.06633,0.02708,1.94269,3.52945,4.10705,0.000816672,0.000816672,0.000816672
43,137.268,2.76096,2.97205,3.89896,0.00333,1,0.0695,0.02437,1.9443,3.52185,4.09363,0.000836507,0.000836507,0.000836507
44,140.535,2.36395,2.86614,3.97688,0.00333,1,0.0695,0.02437,1.9443,3.52185,4.09363,0.000856339,0.000856339,0.000856339
45,143.986,2.97798,2.87893,3.97817,0.00333,1,0.08583,0.02807,1.9433,3.50672,4.08323,0.000876167,0.000876167,0.000876167
46,147.078,3.09545,2.80723,4.05993,0.00333,1,0.08583,0.02807,1.9433,3.50672,4.08323,0.00089599,0.00089599,0.00089599
47,150.02,3.26604,2.84811,3.98174,0.00333,1,0.10293,0.03269,1.94467,3.48453,4.06235,0.00091581,0.00091581,0.00091581
48,152.927,2.26872,2.85984,3.83769,0.00333,1,0.10293,0.03269,1.94467,3.48453,4.06235,0.000935626,0.000935626,0.000935626
49,155.785,2.70238,2.63286,4.01645,0.00333,1,0.22962,0.07626,1.9619,3.51213,4.026,0.000955438,0.000955438,0.000955438
50,158.638,2.85638,2.75093,3.97527,0.00333,1,0.22962,0.07626,1.9619,3.51213,4.026,0.000975246,0.000975246,0.000975246
51,162.594,2.56032,2.41465,3.81253,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00099505,0.00099505,0.00099505
52,165.484,2.61678,2.82813,3.76036,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00101485,0.00101485,0.00101485
53,168.513,2.5573,2.94041,3.80262,0.00333,1,0.33167,0.11673,2.00099,3.57355,3.99839,0.00103465,0.00103465,0.00103465
54,171.476,2.42845,2.82605,3.64312,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00105444,0.00105444,0.00105444
55,174.724,2.53996,2.68866,3.90692,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00107423,0.00107423,0.00107423
56,178.149,3.03822,2.95872,3.79451,0.00333,1,0.4975,0.12976,2.05261,3.53137,3.97646,0.00109401,0.00109401,0.00109401
57,183.397,2.62744,2.5693,3.78279,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00111379,0.00111379,0.00111379
58,188.912,3.21688,2.65318,3.85253,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00113357,0.00113357,0.00113357
59,192.397,3.04378,2.7062,3.87692,0.00333,1,0.4975,0.12961,2.12658,3.50378,3.95863,0.00115334,0.00115334,0.00115334
60,195.302,2.80697,2.72934,3.9135,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00117311,0.00117311,0.00117311
61,198.128,2.77367,2.59292,3.69214,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00119287,0.00119287,0.00119287
62,200.794,2.26338,2.47929,3.56675,0.00333,1,0.995,0.3096,2.26934,3.94821,3.94019,0.00121263,0.00121263,0.00121263
63,203.437,2.47817,2.50018,3.63789,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00123239,0.00123239,0.00123239
64,205.989,3.09103,3.18291,3.85868,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00125214,0.00125214,0.00125214
65,208.831,2.23654,2.52564,3.4462,0.01563,1,0.863,0.21443,2.44235,4.51627,3.76063,0.00127189,0.00127189,0.00127189
66,211.829,2.64616,2.56485,3.8567,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00129163,0.00129163,0.00129163
67,215.115,2.88527,2.25431,3.75958,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00131138,0.00131138,0.00131138
68,218.691,2.70411,3.27634,3.724,0.01689,1,0.9125,0.16578,2.59853,4.72899,3.81052,0.00133111,0.00133111,0.00133111
69,222.425,2.39064,2.57462,3.53299,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.00135084,0.00135084,0.00135084
70,226.173,2.67198,3.03472,3.77956,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.00137057,0.00137057,0.00137057
71,229.422,2.4197,2.68287,3.79135,0.0201,1,0.415,0.09277,2.56405,6.11469,3.85334,0.0013903,0.0013903,0.0013903
72,232.785,2.83516,2.56449,3.73349,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00141002,0.00141002,0.00141002
73,235.785,2.63381,2.41114,3.59264,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00142974,0.00142974,0.00142974
74,238.479,2.70014,2.54788,3.64084,0.02393,1,0.515,0.10159,2.50683,10.0398,3.71644,0.00144945,0.00144945,0.00144945
75,241.411,2.84318,2.37276,3.57661,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00146916,0.00146916,0.00146916
76,244.59,2.72668,2.64564,3.71086,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00148886,0.00148886,0.00148886
77,247.517,2.81511,2.75419,3.70194,0.02261,1,0.51929,0.11126,2.47145,59.3054,4.15462,0.00150856,0.00150856,0.00150856
78,250.267,2.91465,2.58614,3.62388,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00152826,0.00152826,0.00152826
79,253.346,2.44654,2.53721,3.45762,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00154795,0.00154795,0.00154795
80,256.425,2.28585,2.55878,3.50249,0.02142,1,0.515,0.13404,2.32676,82.2632,4.42387,0.00156764,0.00156764,0.00156764
81,259.603,2.57692,2.55618,3.49181,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00158733,0.00158733,0.00158733
82,262.496,2.59729,2.71349,3.51621,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00160701,0.00160701,0.00160701
83,265.927,2.2289,2.75088,3.51657,0.02153,1,0.5825,0.09822,2.73604,82.8398,5.33242,0.00162669,0.00162669,0.00162669
84,268.953,2.89333,2.59813,3.60573,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00164636,0.00164636,0.00164636
85,271.921,2.75375,3.21307,3.54651,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00166603,0.00166603,0.00166603
86,274.606,2.69567,2.70999,3.35771,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00168569,0.00168569,0.00168569
87,277.364,2.28067,2.27143,3.23693,0.02222,1,0.15708,0.03304,2.83604,69.7773,5.95365,0.00170536,0.00170536,0.00170536
88,280.686,2.00328,2.2399,3.27309,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00172501,0.00172501,0.00172501
89,283.601,2.78665,2.96056,3.51304,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00174467,0.00174467,0.00174467
90,286.363,3.06968,2.56347,3.46248,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00176432,0.00176432,0.00176432
91,289.09,2.48146,2.69701,3.47812,0.0216,1,0.10083,0.0283,2.17993,3.92676,3.21053,0.00178396,0.00178396,0.00178396
92,292.105,2.9558,2.74962,3.33339,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.0018036,0.0018036,0.0018036
93,295.18,2.38291,2.56937,3.35858,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.00182324,0.00182324,0.00182324
94,298.037,2.48311,2.57641,3.26451,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.00184287,0.00184287,0.00184287
95,300.729,2.58835,2.64194,3.39073,0.02931,1,0.41628,0.10461,1.97007,5.49412,3.14809,0.0018625,0.0018625,0.0018625
96,303.556,2.44862,2.36351,3.37258,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00188213,0.00188213,0.00188213
97,306.165,2.22159,2.53802,3.05422,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00190175,0.00190175,0.00190175
98,309.184,2.4062,3.00948,3.45147,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00192137,0.00192137,0.00192137
99,312.04,2.80009,3.04448,3.35861,0.03012,1,0.51414,0.1435,2.10964,30.0966,3.2144,0.00194098,0.00194098,0.00194098
100,315.23,2.55748,2.59063,3.21959,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.00196059,0.00196059,0.00196059
101,318.885,2.77439,2.83124,3.28456,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.0019802,0.0019802,0.0019802
102,323.32,2.50328,2.38476,3.02098,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.00198,0.00198,0.00198
103,327.408,2.22953,2.37551,3.3575,0.02265,1,0.731,0.24454,2.44173,69.4078,4.03071,0.0019798,0.0019798,0.0019798
104,330.523,2.26608,2.44484,3.31215,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197961,0.00197961,0.00197961
105,333.425,1.79048,2.41733,3.05669,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197941,0.00197941,0.00197941
106,336.293,2.33765,2.86075,3.24008,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197921,0.00197921,0.00197921
107,339.518,2.09833,2.40265,3.00663,0.02315,1,0.731,0.10785,3.11076,75.678,5.76953,0.00197901,0.00197901,0.00197901
108,343.016,2.34058,2.48335,3.27839,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197881,0.00197881,0.00197881
109,345.705,1.86085,2.30938,3.35609,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197862,0.00197862,0.00197862
110,349.034,1.85706,2.40236,3.18178,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197842,0.00197842,0.00197842
111,352.448,2.14161,2.42148,3.04844,0.0243,1,0.51929,0.11872,2.86677,56.3234,5.46135,0.00197822,0.00197822,0.00197822
112,355.28,2.45518,2.27017,3.19607,0.03206,1,0.50544,0.17057,2.48867,25.2381,4.32054,0.00197802,0.00197802,0.00197802
